"","original_title","year","Genre","duration","votes"
"503","The Dark Side to Love",1984,"Action/Adventure",90,175
"504","The Devonsville Terror",1983,"Horror",82,766
"505","Disconnected",1984,"Crime",82,349
"506","Doctor Detroit",1983,"Comedy",89,5242
"507","Easy Money",1983,"Comedy",95,7708
"508","Echoes",1982,"Drama",89,107
"509","Eddie Macon's Run",1983,"Action/Adventure",95,996
"510","Eddie and the Cruisers",1983,"Drama",95,6612
"511","Emerald Cities",1983,"Comedy",89,119
"512","Enormous Changes at the Last Minute",1983,"Drama",104,150
"513","Exposed",1983,"Drama",100,770
"514","Eyes of Fire",1983,"Horror",90,734
"515","Fire and Ice",1983,"Family",81,9322
"516","The First Time",1981,"Comedy",96,127
"517","The First Turn-On!!",1983,"Comedy",88,610
"518","Flashdance",1983,"Drama",95,46644
"519","Get Crazy",1983,"Comedy",92,1057
"520","Geek Maggot Bingo or The Freak from Suckweasel Mountain",1983,"Comedy",74,213
"521","Getting It On",1983,"Comedy",96,179
"522","Going Back",1984,"Drama",79,156
"523","The Golden Seal",1983,"Drama",94,309
"524","Gorky Park",1983,"Crime",128,12380
"525","Halloween III: Season of the Witch",1982,"Horror",98,41933
"526","Hammett",1982,"Crime",97,2885
"527","Heart Like a Wheel",1983,"Drama",113,1235
"528","Hysterical",1983,"Comedy",87,691
"529","I Am the Cheese",1983,"Drama",100,273
"530","Independence Day",1983,"Drama",110,446
"531","Jaws 3-D",1983,"Action/Adventure",99,39012
"532","Jimmy the Kid",1982,"Comedy",85,270
"533","Joe's Bed-Stuy Barbershop: We Cut Heads",1983,"Comedy",60,267
"534","Joysticks",1983,"Comedy",88,1791
"535","The King of Comedy",1982,"Comedy",109,84308
"536","Last Night at the Alamo",1983,"Comedy",81,238
"537","Last Plane Out",1983,"Action/Adventure",92,125
"538","Lianna",1983,"Drama",110,1519
"539","Lies",1983,"Drama",100,172
"540","Liquid Sky",1982,"Sci-Fi/Fantasy",112,5580
"541","Lone Wolf McQuade",1983,"Action/Adventure",107,10666
"542","The Lonely Lady",1983,"Drama",92,926
"543","The Lords of Discipline",1983,"Horror",102,2474
"544","Lost",1983,"Action/Adventure",92,109
"545","Love Letters",1983,"Drama",88,650
"546","The Loveless",1981,"Drama",82,1589
"547","Lovesick",1983,"Comedy",95,720
"548","The Man Who Loved Women",1983,"Comedy",110,2108
"549","The Man Who Wasn't There",1983,"Action/Adventure",111,504
"550","The Man with Two Brains",1983,"Comedy",93,23827
"551","Man, Woman and Child",1983,"Drama",99,360
"552","Marvin & Tige",1983,"Drama",104,170
"553","Mausoleum",1983,"Sci-Fi/Fantasy",96,1785
"554","Max Dugan Returns",1983,"Comedy",98,3255
